ENEMYDATA_START
	SPEED_EASY = 1.0				# 移動速度基準イージー
	SPEED_NORMAL = 1.3				# 移動速度基準ノーマル
	SPEED_HARD = 1.5				# 移動速度基準ハード
	
	CREATE_MIN_EASY = 60			# 配置カウント基準最小値イージー
	CREATE_MAX_EASY = 100			# 配置カウント基準最大値イージー
	CREATE_MIN_NORMAL = 60			# 配置カウント基準最小値ノーマル
	CREATE_MAX_NORMAL = 100			# 配置カウント基準最大値ノーマル
	CREATE_MIN_HARD = 60			# 配置カウント基準最小値ハード
	CREATE_MAX_HARD = 100			# 配置カウント基準最大値ハード
	
	CREATE_BULLET_MIN = 100			# 弾生成カウント基準最小値
	CREATE_BULLET_MAX = 120			# 弾生成カウント基準最大値
	
	CREATE_BULLET_MOTHER_MIN = 130	# 母艦戦時、弾生成カウント最小値
	CREATE_BULLET_MOTHER_MAX = 140	# 母艦戦時、弾生成カウント最大値
	
	MOTHER_LIFE_EASY = 100			# 母艦の体力イージー
	MOTHER_LIFE_NORMAL = 150		# 母艦の体力ノーマル
	MOTHER_LIFE_HARD = 200			# 母艦の体力ハード
ENEMYDATA_END
